有关	you guan 
工商行政	gong shang hang zheng 
方式	fang shi 
最高人民法院	zui gao ren min fa yuan 
罚款	fa kuan 
单行	dan xing 
职业道德	zhi ye dao de 
权利能力	quan li neng li 
小时	xiao shi 
犯罪事实	fan zui shi shi 
检务	jian wu 
单位	dan wei 
书证	shu zheng 
权利	quan li 
不同	bu tong 
确定	que ding 
被告	bei gao 
审查起诉	shen cha qi su 
贷款	dai kuan 
录像	lu xiang 
案以	an yi 
选民	xuan min 
商标	shang biao 
中央军委	zhong yang jun wei 
行为能力	xing wei neng li 
健康	jian kang 
刑事责任	xing shi ze ren 
英国法	ying guo fa 
本质	ben zhi 
允许	yun xu 
民事案件	min shi an jian 
公证	gong zheng 
承运人	cheng yun ren 
相符	xiang fu 
情形	qing xing 
翻译	fan yi 
法律制裁	fa lv zhi cai 
登记	deng ji 
责任人员	ze ren ren yuan 
调整	tiao zheng 
纳税人	na shui ren 
纯粹	chun cui 
维护	wei hu 
准据法	zhun ju fa 
付款	fu kuan 
仲裁	zhong cai 
董事	dong shi 
机关	ji guan 
赔偿	pei chang 
书记员	shu ji yuan 
撤销	che xiao 
撤消	che xiao 
依法	yi fa 
被申请人	bei shen qing ren 
村民	cun min 
公安部队	gong an bu dui 
法国	fa guo 
罗马法	luo ma fa 
生效	sheng xiao 
法律条文	fa lv tiao wen 
削减	xue jian 
政治权利	zheng zhi quan li 
通则	tong ze 
当事人	dang shi ren 
立法	li fa 
推理	tui li 
内国	nei guo 
存款	cun kuan 
可能	ke neng 
民法	min fa 
判决	pan jue 
人民法院	ren min fa yuan 
录音	lu yin 
保证	bao zheng 
化肥	hua fei 
未成年人	wei cheng nian ren 
法定代理	fa ding dai li 
陈宠传	chen chong chuan 
人民检察院	ren min jian cha yuan 
对于	dui yu 
让步	rang bu 
债券	zhai quan 
故意	gu yi 
渊源	yuan yuan 
社会主义	she hui zhu yi 
刑事诉讼	xing shi su song 
法院	fa yuan 
自治权	zi zhi quan 
体系	ti xi 
高级法院	gao ji fa yuan 
地域	di yu 
成年人	cheng nian ren 
民法典	min fa dian 
原则	yuan ze 
有权	you quan 
政府	zheng fu 
除权	chu quan 
配偶	pei ou 
实体	shi ti 
陈述	chen shu 
回避	hui bi 
自诉	zi su 
协调	xie tiao 
制品	zhi pin 
人民政府	ren min zheng fu 
国际	guo ji 
具备	ju bei 
不能	bu neng 
被告人	bei gao ren 
另行通知	ling xing tong zhi 
权利义务	quan li yi wu 
没收	mo shou 
增强	zeng qiang 
民事法律	min shi fa lv 
民事	min shi 
事实	shi shi 
运费	yun fei 
包销	bao xiao 
行为	xing wei 
证券交易	zheng quan jiao yi 
公示	gong shi 
包括	bao kuo 
授权	shou quan 
没有	mei you 
裁决	cai jue 
承销	cheng xiao 
要约	yao yue 
理念	li nian 
德国	de guo 
监督管理	jian du guan li 
要求	yao qiu 
具有	ju you 
宣判	xuan pan 
主席	zhu xi 
侵占	qin zhan 
发展	fa zhan 
或者	huo zhe 
设立	she li 
部分	bu fen 
百分之八	bai fen zhi ba 
冲突	chong tu 
事务所	shi wu suo 
机构	ji gou 
工人	gong ren 
法治	fa zhi 
情事	qing shi 
支出	zhi chu 
事项	shi xiang 
中华人民	zhong hua ren min 
未作	wei zuo 
二审	er shen 
给予	ji yu 
国境	guo jing 
债务	zhai wu 
开庭审理	kai ting shen li 
装货	zhuang huo 
产品	chan pin 
社会秩序	she hui zhi xu 
法律	fa lv 
委托	wei tuo 
哪一	na yi 
协议	xie yi 
构建	gou jian 
负责	fu ze 
公民	gong min 
诉讼	su song 
解除	jie chu 
派遣	pai qian 
发展中国家	fa zhan zhong guo jia 
辩论	bian lun 
审理	shen li 
宪法	xian fa 
秩序	zhi xu 
网上	wang shang 
世界贸易组织	shi jie mao yi zu zhi 
盗窃	dao qie 
下列	xia lie 
根本	gen ben 
道德	dao de 
补充侦查	bu chong zhen cha 
继承	ji cheng 
平均	ping jun 
案件	an jian 
律师资格	lv shi zi ge 
行政复议	xing zheng fu yi 
本人	ben ren 
提请	ti qing 
说法	shuo fa 
外国人	wai guo ren 
众多	zhong duo 
有效	you xiao 
国际贸易	guo ji mao yi 
止付	zhi fu 
海事	hai shi 
立遗嘱	li yi zhu 
支票	zhi piao 
企业	qi ye 
债权人	zhai quan ren 
局限性	ju xian xing 
销售	xiao shou 
陪审员	pei shen yuan 
签章	qian zhang 
民族自治	min zu zi zhi 
涉外	she wai 
原件	yuan jian 
承保	cheng bao 
管理	guan li 
投票	tou piao 
采纳	cai na 
刚正不阿	gang zheng bu e 
抵触	di chu 
人数	ren shu 
破产	po chan 
错误	cuo wu 
历史	li shi 
通信	tong xin 
习惯	xi guan 
保全	bao quan 
财物	cai wu 
非法	fei fa 
责任	ze ren 
赃物	zang wu 
普通法	pu tong fa 
裁定	cai ding 
反倾销	fan qing xiao 
原审	yuan shen 
安理会	an li hui 
不得	bu de 
法律文书	fa lv wen shu 
兼采	jian cai 
英国	ying guo 
申请	shen qing 
履行	lv xing 
作出	zuo chu 
行使职权	xing shi zhi quan 
税务	shui wu 
全国人大常委会	quan guo ren da chang wei hui 
中国籍	zhong guo ji 
保护	bao hu 
程序	cheng xu 
宣告	xuan gao 
国际公约	guo ji gong yue 
成立	cheng li 
主席团	zhu xi tuan 
术语	shu yu 
非常任	fei chang ren 
香港特别行政区	xiang gang te bie xing zheng qu 
法规	fa gui 
自认	zi ren 
法人	fa ren 
正当	zheng dang 
最高人民检察院	zui gao ren min jian cha yuan 
国务院	guo wu yuan 
刑事	xing shi 
合理	he li 
符合	fu he 
拘留	ju liu 
受到	shou dao 
一审	yi shen 
有期徒刑	you qi tu xing 
计算机程序	ji suan ji cheng xu 
伪造	wei zao 
合同	he tong 
捐赠	juan zeng 
依法治国	yi fa zhi guo 
证券	zheng quan 
人大常委会	ren da chang wei hui 
行政	xing zheng 
表述	biao shu 
司法制度	si fa zhi du 
自治区	zi zhi qu 
整体	zheng ti 
职业	zhi ye 
常务委员会	chang wu wei yuan hui 
碰撞	peng zhuang 
抗诉	kang su 
债务人	zhai wu ren 
采用	cai yong 
规范	gui fan 
保障	bao zhang 
体现	ti xian 
信用证	xin yong zheng 
约束力	yue shu li 
地方	di fang 
金融债券	jin rong zhai quan 
保险金	bao xian jin 
检察院	jian cha yuan 
组织者	zu zhi zhe 
不服	bu fu 
自主性	zi zhu xing 
执行	zhi xing 
应当	ying dang 
适用	shi yong 
财产权	cai chan quan 
公司	gong si 
请求权	qing qiu quan 
交易	jiao yi 
人民代表大会常务委员会	ren min dai biao da hui chang wu wei yuan hui 
国际惯例	guo ji guan li 
国家机关	guo jia ji guan 
领馆	ling guan 
通常	tong chang 
关联性	guan lian xing 
检察长	jian cha zhang 
仿效	fang xiao 
部门	bu men 
会议	hui yi 
第二审	di er shen 
判断	pan duan 
以厂	yi chang 
使用权	shi yong quan 
拆除	chai chu 
期间	qi jian 
第一审	di yi shen 
英美法	ying mei fa 
环境保护	huan jing bao hu 
必然	bi ran 
刑事犯罪	xing shi fan zui 
辩护律师	bian hu lv shi 
退税	tui shui 
自由	zi you 
民事诉讼	min shi su song 
判处死刑	pan chu si xing 
买卖	mai mai 
通过	tong guo 
行政许可	xing zheng xu ke 
商业银行	shang ye yin hang 
爱国统一战线	ai guo tong yi zhan xian 
国家	guo jia 
证据	zheng ju 
猥亵罪	wei xie zui 
选举	xuan ju 
审查	shen cha 
行政处罚	xing zheng chu fa 
信息	xin xi 
公共卫生	gong gong wei sheng 
涉及	she ji 
当选	dang xuan 
中华人民共和国	zhong hua ren min gong he guo 
明朝	ming chao 
法官	fa guan 
担保	dan bao 
决定	jue ding 
照片	zhao pian 
习惯法	xi guan fa 
证券公司	zheng quan gong si 
生产	sheng chan 
适用范围	shi yong fan wei 
