测量	ce liang 
重男轻女	zhong nan qing nv 
办法	ban fa 
回忆	hui yi 
这样	zhe yang 
家长	jia zhang 
地去	di qu 
地位	di wei 
教室	jiao shi 
需求	xu qiu 
拜托	bai tuo 
郊区	jiao qu 
右边	you bian 
相当	xiang dang 
有益	you yi 
一个	yi ge 
诉诸	su zhu 
那里	na li 
回覆	hui fu 
哪个	nei ge 
地方	di fang 
一起	yi qi 
权利	quan li 
存到	cun dao 
啤酒	pi jiu 
威胁	wei xie 
录影机	lu ying ji 
还会	hai hui 
然后	ran hou 
一边	yi bian 
纸条	zhi tiao 
的话	de hua 
追求	zhui qiu 
毅力	yi li 
恢复	hui fu 
困难	kun nan 
破洞	po dong 
地图	di tu 
晚饭	wan fan 
台北	tai bei 
礼拜	li bai 
大开眼界	da kai yan jie 
墙壁	qiang bi 
处罚	chu fa 
品质	pin zhi 
选择	xuan ze 
怎样	zen yang 
时数	shi shu 
一瓶	yi ping 
身体	shen ti 
时间	shi jian 
祝你开心	zhu ni kai xin 
看著	kan zhu 
相片	xiang pian 
这份	zhe fen 
哪有	na you 
生活品质	sheng huo pin zhi 
建立	jian li 
帮助	bang zhu 
比较	bi jiao 
每次	mei ci 
妈妈	ma ma 
